review,nama desa wisata
luar biasa tempat yang sangat damai dan asri,Pulesari
desa wisata pulesari bener bener tempat yang asik buat refreshing bareng keluarga atau kantor area outbound nya luas banget terutama kegiatan susur sungai yang jadi favorit karena seru dan aman buat anak anak udaranya masih sejuk dan asri karena banyak pohon salak di sekelilingnya fasilitas pendukung seperti toilet musala dan tempat makan juga sudah sangat memadai dan bersih cocok banget buat yang cari suasana pedesaan yang tenang tapi tetap seru,Pulesari
tempatnya sejuk untuk kegiatan keakraban sayangnya hampir seharian dari sore sampe besok siangnya waktu pulang listriknya mati karena cuaca kurang bagus dan sepertinya kabel terkena runtuhan pohon,Pulesari
tempatnya asik banget asri hawanya sejuk tempat outbond asik di kali yang airnya seger dan bersih banget tapi sayangnya ternyata ada tambahan biaya tempat untuk di luar paket outbond yang ga diinfo sebelumnya,Pulesari
tempat outbond yg lengkap dan terbagi dalam banyak pos yg memungkinkan banyak pengguna memanfaatkan lokasi ini secara bersamaan dalam satu waktu pilihan paketnya juga beragam menyesuaikan budget dan kebutuhan sip,Pulesari
desa wisata pulesari asri edukatif ramah keluarga desa wisata pulesari adalah destinasi yang cocok banget kalau kamu ingin merasakan suasana pedesaan khas jogja di lereng gunung merapi tempatnya asri udara sejuk dan pemandangan sawah serta kebun salak yang terbentang membuat pengalaman liburan jadi nyaman dan bersahabat,Pulesari
tempatnya sejuk dan asri di bagian pendopo bersih dan pendamping di permainan untuk pendopo lumayan asik tapi agak judes yang perlu di perhatikan yaitu toilet toilet agak jauh dari tempat pendopo dan juga yang perlu diperhatikan lagi pendampuong di sungai judes bgt gabisa diajak bercanda kaya cuman nganterin doang kaku bgt itu aj sih mines nya,Pulesari
bagus buat outbound jalannnya juga mudah di akses ramah ramah,Pulesari
asyik untuk oitbond edukatif dan spot masih sangat alami tolong fasilitatornya lebih gercep lagi,Pulesari
pas aku otbon sama satu kelas aku di situ seruuuuu banget aku sampek gak mau pulangggg,Pulesari
arena outbound nya seru ada dua versi outbound untuk area sungai timur arusnya tidak terlalu deras sedangkan area sungai barat arusnya cukup deras dan tantangannya lebih seru pemandu nya ramah dan mau menjawab pertanyaan kita makanan yang disuguhkan juga enak,Pulesari
pemandu sungai sangat kaku gabisa diajak bercanda cuman nganter liat aja harusnya ikut memeriahkan atau apa gitu nyesel banget malah seru fungame ice breakingnya sama bapabapka gendut gatau namanya,Pulesari
tempat dimana kamu bisa ketemu orang orang baik yang hospitality nya mantepp poll,Pulesari
pemandu asungai kurang ramah cuma mengantar saja tidak bisa memeriahkan,Pulesari
tempat yang asyik dan cukup luas untuk berkegiatan seperti perkemahan pramuka gathering atau outbound seru semoga makin berjaya maju dan sejahtera,Pulesari
desa wisata pulesari terletak di daerah turi sleman pulesari ini biasa untuk outbond yang berhubungan dengan air seperti jembatan goyang medon kali trecking dll lumayan menguji nyali andrenalin tapi kalo untuk anak anak usia 5 8 tahun saya kira kurang aman yaa lebih diutamakan yg sudah usia 10tahun keatas untuk keseluruhan bagus banget buat pemandunya welcome dan humble bagi yang suka buah salak belanja sepuasnya disini murah banget dan buah fresh baru petik cuaca sejuk seperti dipegunungan,Pulesari
tempatnya sejuk dan nyaman tetapi antara pengelola dan instruktur outbond kurang ada koordinasi instruktur seperti kurang persiapan selama pelaksanaan outbond instruktur juga tidak ramah dengan abk gestur tubuh dan obrolan sesama instruktur yang ditunjukkan seakan akan mengejek anak2 berkebutuhan khusus kecewa dan sedih melihatnya,Pulesari
seru banget tempat nya minusnya makanan nya ga enak,Pulesari
desa wisata yg tenang untuk menuju desa ini harus melewati perkebunan salak kalo pagi segar dan nyenengin kalo udh malem jalannya gelap agak horor perkebunannya warga desanya ramah dan memang sudah terorganisir sebagai desa wisata rumah2 warga dijadikan penginapan satu rumah bisa buat tidur rombongan 5 15 orang lingkungannya terawat makanan dan snacknya sederhana ala desa ada outbound di sungai juga cocok buat yg cari tempat makrab dan outbound dengan budget terjangkau,Pulesari
susur sungai warganya ramah dan baik,Pulesari
mainan di sungai seperti waktu masih sekolah seru juga permainannya bikin lupa beban utang,Pulesari
kerenn wisata desa yang sangat rekomended area luas nyaman fasilitas outbound lengkap cocok untuk edukasi rekreasi suasana pedesaan yang tenang alami,Pulesari
pelayanan tidak baik emosian gak jelas banget makanan gak ada rasanya,Pulesari
petugas tidak ramah tolong lebih diperbaiki lagi keramahan dan komunikasi antar petugasnya serta lebih profesional lagi,Pulesari
main di kali nya seruuuu,Pulesari
tempatnya bersih masyarakatnya ramah jika malam ada banyak warung jd tidak perlu takut laper,Pulesari
tempat yang sejuk bisa outbond susur sungai seru banget kami igra kabupaten tangerang ke sini nermain dan bergembira,Pulesari
memilih desa wisata pulesari untuk outbond remaja pir gereja pugeran banyak pendoponya ada 10 jadi dalam waktu bersamaan bisa melayani banyak rombongan disana dibantu tim sendiri untuk sesi acara dan fun games kemudian untuk outbondnya ada pilihan susur sungai timur dan barat untuk sungai timur rintangan pendek² sedangkan sungai barat lebih panjang rutenya antara rintangan 1 dan lainnya agak panjang parkiran luas ditiap pendopo free dan disediakan makanan dan tempat istirahat juga untuk driver bus begitu datang rombongan kemudian disediakan snack dan teh bisa pilih snack sebelumnya 3 macam kemudian makan siang juga pilih menu dan minum overall oke banget seh pelayanan disini lokasi bersih kamar mandi disediakan banyak dan memadai waktu hari h ada salah satu anak yang kakinya keseleo pas disungai tim dari pulesari gercep untum menolong kemudian membawa ke tukang pijet didaerah sana tanpa meminta biaya tambahan ke peserta jempolan seh makasih tim dan warga pulesari ramah² semua,Pulesari
kemeriahan parade kirab budaya padukuhan pringwulung pringwulung tumpah ruah kebahagiaan dari anak anak orang dewasa hingga para lansia semua bersatu dalam warna warni kostum budaya parade ini bukan hanya sekadar peringatan hari kemerdekaan republik indonesia ke 80 tetapi juga wujud nyata pelestarian budaya dan adat istiadat yang kita cintai seluruh potensi padukuhan pringwulung baik budaya maupun ekonomi ikut bergerak menunjukkan semangat gotong royong dan kebersamaan alhamdulillah tahun ini menjadi tahun ke 5 kirab budaya kita terselenggara dengan meriah semoga tradisi ini terus berlanjut setiap tahun dan menjadi kebanggaan kita semua terima kasih untuk keluarga besar padukuhan pringwulung atas kerja sama partisipasi dan semangatnya mari kita terus maju jaya dan berbudaya pringwulungberbudaya hutri80 kirabbudaya gotongroyong,Pulesari
kueren bgt mantap,Pulesari
baik sangat indah seru pokok nya,Pulesari
tempatnya asik banget pernah kesini waktu masih kuliah seru banget ada permainan dan susur sungai susur sungai ini yg bener2 pengalaman tak terlupakan gabisa didapat di tempat lain disana hawanya dingin apalagi kalau kesana rombongan banyak orang itu bener2 asik buaaaaangeeeetttt ada outbond dan jelajah di wilayah itu bener2 seru sekali masyarakatnya juga ramah ramah baik baik bgt tp pengalaman disana adek tingkat dan temenku pernah kesurupan sampe pulangnya mereka pun semenjak itu sering diganggu mahluk2 halus aneh tp nyata bgt sih,Pulesari
bagus banget viewnya,Pulesari
desa wisata pulesari terletak di turi sleman yogyakarta dan dikenal sebagai tempat outbond yang seru di tengah suasana pedesaan yang asri dikelilingi kebun salak dan aliran sungai alami desa ini cocok untuk kegiatan edukatif keluarga maupun rombongan sekolah beragam aktivitas seru seperti flying fox tubing jelajah alam hingga permainan tradisional tersedia di sini warga desa ramah dan mendukung kegiatan wisata dengan fasilitas yang cukup lengkap suasana segar dan alami menjadikan pulesari tempat ideal untuk melepas penat dari hiruk pikuk kota cocok untuk wisata alam budaya dan edukasi dalam satu tempat,Pulesari
desa wisata pulesari tuh bener bener tempat healing yang asyik adem dan penuh petualangan udaranya sejuk banget view nya ijo royo royo dan suasananya tenang ramah banget aktivitasnya seruuu abis ada susur sungai outbond permainan tradisional tracking kebun salak sampai belajar budaya jawa anak anak happy orang dewasa pun ketagihan ikut main makanannya khas desa banget disajikan di daun pisang dan bikin nambah terus warga lokalnya juga super ramah bikin betah dan berasa kayak di kampung sendiri cocok buat outing gathering field trip sekolah atau sekadar escape dari rutinitas kota fasilitas lengkap harga bersahabat dan spot foto alamnya cakep semua pulesari edukasi petualangan kehangatan desa wajib mampir kalau ke sleman,Pulesari
tempatnya adem dan asri banget cocok buat yang pengin healing dari hiruk pikuk kota warganya ramah dan banyak aktivitas seru seperti susur sungai outbond dan nyicipin makanan tradisional suasana pedesaannya masih kerasa banget bikin betah berlama lama kalo udah capek aku bisa pulang kekosanku yang nyaman banget kalo udah basah basahan dan cuma ganti baju bisa mandi air panas dikosan terus bobo deh karena kasurnya empuk dan bersih aku pake kode promo jumbodparagon biar lebih murah nginepnya,Pulesari
bagus bisa outbond seru di sungai dg harga terjangkau managemen cukup bagus dengan mengerahkan penduduk sekitar tapi hati2 kalau beli salak dan jadah tempe di daerah situ harus pilih pilih agar tidak kemahalan dan dapet barang yang jelek2,Pulesari
tempat nya keren dan fasilitas oke tapi sebaiknya dokumentasi lebih ditingkatkan lagi skill nya dikurangi penggunaan flash nya karna justru akan merusak gambar lalu sebelum drive dokumentasi dikirim sebaiknya video video di stabilkan dahulu untuk fokus kamera jga harus di atur karna banyak yang blur terimakasih,Pulesari
akses jalan menuju ke desa wisata pulesari hendaknya diperlebar lagi,Pulesari
seru sekali outbond di sinii recommended buat yg mau outbond atau family gathering,Pulesari
wisata nya sangat menyenangkan dan diharap untuk selajutnya pengelola dapat meningkat penjagaan di sekitar sungai dikarenakan disaat ada anak kecil yang melewati wahana tersebut bisa mengakibatkan terpeleset dan akan beresiko mungkin hal yang dapat dilakukan ada melakukan pembatasan minimum tinggi anak ataupun pengelola yang lebih banyak stay di area air menjaga lebih bagi wisatawan yang melakukan kegiatan terima kasih,Pulesari
pengalaman yang seru dan mengesankan pengen kembali lagi ke sini,Pulesari
tempatnya nyaman lumayan bersih dan disana disediakan makanan dan minuman tempat outbondnya juga teduh dan tidak terlalu dalam jadi untuk yg gak bisa berenang aman banget,Pulesari
tetangga desa di sampingnya desa pulesari tempatya indah sejuk bisa maennan air asli pegunungan bisa memetik buah salak langsung dari pohonya ada rumah jogloya juga pokok ya asik yaman,Pulesari
lokasi yang bagus untuk outbond keluarga maupun sekolah airnya sejuk tempat makan mudah tempat ibadah juga besar,Pulesari
tempat nya asyik buat anak2 outbont cuma saran aja alangkqh baiknya sungai yg tuk nyisir itu di kasih batu apa krikil2 biar qir nya ga kotor kayak air comberan karena kemrn banyak yg nheluh habis main trus pada gatel,Pulesari
baguss luas menyenangkan pelayanan ramah tempat enak bersih permainan air ada lebih dari 20 lohh menu snak ada 3 macam menu makan sup ayam bacem krupuk sambal ada jualan salak jajan jugaa hargaa jjan 5000an corndog bakso kuah sosis bakar es dogerrr klau salak 3000 sampai 12rb pwe kg masih bisa ditawarrr lohhhh,Pulesari
keren sih ini pengurus rw nya bisa mempunyai gagasan dan berproses menjadikan desa wisata walaupun akses nya lumayan jauh dari jalan raya propinsi akan tetapi mampu mengundang banyak tamu untuk menyelenggarakan acara gathering dan pertemuan di tempat ini yg perlu di tambahi adalah toko kelontong menyediakan snack dan makanan ringan rokok kopi 2 hari kami mengadakan acara di desa pulesari ini dan menginap 1 malam bagi yg ada agenda menginap jangan lupa bawa jaket dan selimut karena kalau malam hari terasa dingin karena kami tidak menyelenggarakan outbound jadi belum bisa memberikan review mengenai lokasi tracking dan keseruan healing with nature nya so sukses terus buat desa pulesari terus berbenah menata dan membangun untuk selalu memberikan pengalaman terbaik untuk para tamu yang hadir,Pulesari
desa wisata yg apik tersedia lokasi utk out bound,Pulesari
tempatnya representatif jalan nga asik banget,Pulesari
mungkin kedepannya kalo yg ice breaking yg coret muka jangan pake wajan gosong ya karna kulit setiap orang itu beda dan kita ngga tau seberapa banyak uang yang mereka keluarkan untuk merawat kulit wajah mereka,Pulesari
cocok buat family day atau komunitas yang ingin refresh dari rutinitas kota nyusuri sungai atau river tracking sangat membantu memulihkan gelombang elektromagnet dan sel sel positif di dalam otak,Pulesari
pernah kesini satu pabrikk dan salah satu nya aq dapat sangat berharga karena pengalaman,Pulesari
lumayan seru tapi rintangannya aksterim banget juga waktu itu di pundaknya temen aku ada laba laba yang lumayan gede,Pulesari
tempatnya recomend banget air pegunungan yg dingin sejuk serta pendamping ramah pokoknya kamu akan mendapatkan pengalaman tantangan yg menarik kususnya bagi anak2 yg suka petualang,Pulesari
desa wisata yang dikelola masyarakat mantab aktraksi susur sungai nya anak anak suka,Pulesari
sangat bagus tempatnya dan stafnya ramah ramah kegiatannya sangat serruuh dan mantapppppp,Pulesari
sangat cocok untuk acara outbound baik untuk anak2 maupun dewasa pelayanan yang sangat memuaskan dan ramah wahana air yang menyenangkan serta games2 yang seru,Pulesari
desanya asri banget cocok buat outbond air di sungainya jernih udaranya segar belum terkontaminasi dgn polusi masyarakat desa dan pengelola desa wisata sangat welcome dengan tamu di dekat sini juga ada sentra durian bisa sekalian hunting,Pulesari
tempat nya asri adem dan warga d sana baik2 sekali,Pulesari
desa wisata yg keren bersihh nyaman recomended,Pulesari
outbond anak2 dari sekolah lama beberapa tahun yg lalu anak2 suka dan menikmati dari sekolah menggunakan bus yang diparkir di parkiran mobumen jogja kembali dengan 9bus dari pagi hingga menjelang sore sudan sampai tiba kembali membawa baju ganti dan dianjurkan sepatu sendal saja utk outbond ini,Pulesari
tempat nyaman banyak joglo2 yg disewakan untukmacara outbond,Pulesari
tempat bersih fasilitas baik lokasi outbond airnya menyegarkan,Pulesari
desa wisata pulesari adalah destinasi yang luar biasa untuk menikmati keindahan alam dan budaya lokal terletak di kawasan yang sejuk dan dikelilingi pemandangan pegunungan desa ini memberikan suasana yang sangat tenang dan menyegarkan salah satu aktivitas seru yang bisa dilakukan di sini adalah susur sungai dengan halang rintang pengunjung diajak menjelajahi sungai sambil melewati berbagai tantangan yang menguji keberanian dan kekompakan seperti melompat dari batu besar atau menyusuri jembatan kayu aktivitas ini sangat cocok bagi para pencinta petualangan yang ingin merasakan keseruan dan keindahan alam dari sudut yang berbeda secara keseluruhan desa wisata pulesari adalah tempat yang tepat untuk melarikan diri dari hiruk pikuk kota dan menikmati waktu berkualitas di alam yang indah,Pulesari
sangat menyenangkan dengan masyarakat yang ramah ramah dan area lingkungan yang bersihh tracking sungai yang sangat menyenangkan dengan berbagai wahanan begitu pula dengan fun games nyaaa sangat menyenangkan home stay dan pendopo yang sangat luass dan bersihhh,Pulesari
dua tahun yg lalu berkunjung bawa rombongan outbond ber 50 org dr mulai pertama mulai sampe akhir terkesan diabaikan trainner tdk mumpuni dan sepertinya koordinasi antar tim pengelola kurang memadai yg lebih mengecewakan lg pertama booking sdh ditawarkan dokumentasi sekalian akhirnya kami mau pd prakteknya setelah selesai acara kami plg ditunggu 3hr tdk ada kabar tentang dokumentasi akhirnya sy wa dgn pengelola di nmr yg dl km reservasi jawabannya mengecewakan malah melempar ke org yg katanya mengurus dokumentasi akhirnya setelah dilempar kesana kemari dan menunggu sekitar 5hr dpt jawabannya dokumentasi error katanya ada kerusakan kamera yg terkirim hanya foto di awal kegiatan tok dan hanya beberapa logikanya km pesan foto dan video kl misal dr awal ada kerusakan hrsnya tau dong ya secara itu kegiatan hampir 2 jam dan hrsnya kl bertanggung jawab jgn sampai km yg bertanya hrsnya ada inisiatif dr sana untuk memberitahu sy komplain pengelola tdk terima dan tdk mau disalahkan akhirnya tanpa pengembalian dana ataupun sekedar permintaan maaf nmr sy di blokir sekelas desa wisata terstruktur pelayanan seperti ini cukup sekali dan sejak itu gak lg2 kesana pdhal sy bs 3 kali dlm setahun pasti menangani outbound ternyata mengecewakan,Pulesari
selain untuk outbond bisa juga joglo disewa untuk acara resepsi,Pulesari
main di sungai bersama anak2 semua happy tempatnya sejuk sungainya pas buat bermain anak ada guide yg mendampingi recomended untuk liburan keluarga,Pulesari
wahana air kurang menarik di sungai ke 2,Pulesari
lagi medun 1 langkah tangga langsung di bengoki pegawene sing go klambi biru lemu mbak bayar 20rb kalau sudah turun tangga tak jawab iyoo engko tak bayar dan akhirnya saya naik lgs tak bayar jelas tulisan tidak ada peringatan lgs di bengoki kegiatan outbond pule sari tertutup marai ngagoli ora masalah dwete le bayar cuma ngopo ra ngekei tulisan selain peserta paket dilarang masuk malah di bengoki orang akan lebih paham jika ada tulisan ora di suarani po di tulisi orang tua tidak boleh ikut turun karena paket buat anak2 yg daftar paket outbond aq mung ngeterke anakqu ora neg aq rep melu nyemplung pokoke ra rekomendasi buanget neng pulesari saya di sini sudah 3x lagi iki medun jupuk foto seko sebelah tangga bawah kon bayar,Pulesari
cocok sekali untuk outbond anak2 yg jauh dari kebisingan kota suasana desa yg nyaman,Pulesari
desa wisata yang asri sejuk dan cocok untuk jalan jalan susur dungai,Pulesari
mantap masih asri petugas banyak yg dampingi jd kami merasa aman dan nyaman,Pulesari
bagus untuk agenda outbond mantap,Pulesari
seruuu bangett susur sungai di desa ini bikin nagihhh ga mau brenti maen air,Pulesari
rekomendasi untuk kegiatan outbond tempatnya sejuk asri dan tentunya banyak pilihan paket yang murah,Pulesari
tempat bersih dan rindang ada agenda susur sungai pendopo sound system dan makanan yang disediakan cukup mengakomodir kegiatan,Pulesari
tempat yg asik buat out bond,Pulesari
lumayan bagus area parkir luas saran outbound jg tersedia untuk menginap juga ada,Pulesari
desa wisata pulesari sangat cocok untuk wisata edukasi,Pulesari
desa wisata pulosari,Pulesari
desa wisata yg sejuk cocok bgt bt outbond,Pulesari
bagus untuk bermain anak,Pulesari
tempatnya seru pengelolanya juga baik acara di dampingi dari awal sampai akhir,Pulesari
mantap rekomendasi yang pas untuk kegiatan outbond dan bisa memilih paket bisa petik salak juga,Pulesari
bagus dan asri,Pulesari
seru sekali dengan mc yg super bikin ketawa,Pulesari
tempat wisata yang asri dan asyik banyak wahana permainan di air yang bikin permainan jadi lebih seru,Pulesari
fun games nya fun banget outbound nya anak2 dan ibu nya senang sungai nya so far amaannn rasa makanan mohon ditingkatkan lagi kamar mandi nya memadai,Pulesari
unik menarik suasana desa jawa yg rumah2 nya bersih sungai kecilnya jg bersih mengenang masa kecil yg suka berpetualang,Pulesari
diberdayakan oleh warga sekitar dikelola dg baik suasana desa yg masih asri dg orang orang yg ramah dan sangat membantu,Pulesari
favorit lah untuk kegiatan acara outbound bareng2 seperti pusahaan keluarga sekolah yayasan dll karena suasana sejuk asri dan tentunya murah,Pulesari
suasana sejuk dan air sungainya masih bersih,Pulesari
menarik sekali pengelola baik dan ramah anak2 diajak bermain utk melatih konsentrasi yang lebih menarik waktu susur sungai top,Pulesari
pengurus nya sungguh sombong sekali tidak sekali pun kami ditemui untuk koordinasi lama sekali kami penyelenggara kegiatan bawa peserta 110 orang di kenakan biaya makan 120pax info nya hitung nya lewat cctv aneh ketemu juga model kaya gini di jogja,Pulesari
tempat outbond atau gathering di turi fasilitasnya lengkap terdapat pendopo ada tracking ke sungai fasilitatornya ramah dan selalu sigap mendampingi makanannya enak dan tempat parkirnya luas,Pulesari
kemarin habis dari sana maaf bgt harus bilang kalau tempat istirahat nya kurang nyaman kotor kaya gak di sapu banyak sarang laba laba nya di genteng knp gak di bersihkan dulu tiker kotor kamar mandi kotor bau pesing bgt makanan hambar tolong di perbaiki semuanya,Pulesari
cukup bagus banyak varian paket utk acara outbond dan refreshing edukasi harga murah dg vasilitas snak pemandu dan berakhir makan siang mushola tempat wudhu bagus rapi cukuo bersih l,Pulesari
3 4 mei 2024 kami ada event di sini untuk penginapannya kamarnya bersih dan nyaman untuk pelayanan baik seru banget buat acara makrab kampus atau karya wisata ada sesi susur sungai dan ice breaking satu hal yang sesikit minus di taste rasa makanan sayuran yg disugukan adalah sayur khas desa banget dan aku paling suka makanan khas pedesaan dan ekspektasi saya rasanya bakalan enak banget seperti sayur lodeh maupun sayur daun singkong namun 3 kali makan rasa sayurannya hambar banget jadi kedepan untuk bagian konsumsi memperbaiki rasa sayurannya supaya seimbang antara fasilitas dan juga penyajian makanannya,Pulesari
desa wisata yang sangat asri bersih dan indah dengan udara yang sejuk di lereng gunung merapi menyajikan wisata alam nuansa pedesaan di kelilingi perkebunan salak pondok dan berbagai wahana permainan dan pendidikan,Pulesari
desa wisata banyak pohon salaknya tempatnya luas sejuk nyaman banyak wahana untuk outbound tracking sungai dll ada pemandunya juga kebersihannya terjaga seruu deh pokoknya,Pulesari
sangat menyenangkan saya kesana dalam rangka jalan2 karyawan disana melakukan kegiatan outbond dan lain lain,Pulesari
outbond disini seru dan bisa refresh,Pulesari
desa yg bersih dgn pemandangan kebun salak lahan parkir jika person ingin berjalan2 warung makan sepertinya tidak ada,Pulesari
terlalu pelosok dan serem kalau jalan malam,Pulesari
tempat untuk rekreasi sambil beredukasi dan menyatu dengan alam,Pulesari
sangat menyenangkan diawali dengan tim dari pokdarwis yang sangat lucu mengawali dengan ice breaking yang bikin terbahak bahak bahagia tempat outbond yang asyik berbagai macam permainan yang menantang dilanjutkan susur sungai dengan suasana alam yg adem dan menyejukkan dengan aliran sungai yang segar di tengah perkebunan salak benar benar refresing,Pulesari
tempat untuk outbound yg bagusss tempatnya asri airnya jernih mantapppp,Pulesari
tempatnya asri serta kebersihannya terjaga alami air sungainya pun dari sumber jd masih jernih wahana outbound susur sungainya mantab seru dan aman pokoknya,Pulesari
tempat yg asik buat keluarga dan rombongan out bound,Pulesari
parah parah saran saya kalau mau main air susur sungai silahkan kesini not badlah tapi masih lebih bagus di plo ku ng tapi kalau mau outbond kekompakan tim jangan disini belum mumpuni untuk timnya kecuali anda bawa tim trainer outbond sendiri dari awal sepertinya sudah membuat esmosi kontak person tidak responsif kami rombongan datang ber 200 orang juga didiamkan saja ibaratnya tamu mestinya tuan rumah juga ada iki jian tenanan suwung sampe ahirnya dateng yg katanya trainer 1 orang duduk ngliatin doang wkkk trus dateng lagi 1 org dan crew magang trainer yg datang pertama langsung pergi trainer 1 dan crew nya ngisi ice breaking tok mungkin kurang mumpuni kalo untuk outbond kekompakan tim intine ra gercep kurang servisny selesai pun kami yang menghandle sendiri semoga bisa berbenah lagi utk tim dewipule,Pulesari
sering kami pakai untuk outbond ya lumayan asik tempatnya yang penting tetap dirawat diremajakan dan terus diberdayakan untuk selalu jd lokasi outbond yang keren,Pulesari
permainan menarik cuma kamar mandi kurang bersih admin tolong d steril kan lagi kamar mandi nya,Pulesari
tempat outbond yang seru,Pulesari
desa wisata di wilayah sleman yogyakarta yg dukelola dg sangat baik dan teroadu bisa untuk arena outbond yg menyenangkan dg menyusuri sungai kecil dg jln kaki cocok utk tua muda dan anak2 ken treckibg aman sebaiknya reservasi utk ketersediaan tempat,Pulesari
yang mau outbond paket komplit desa wisata pulesari pilihannya sangat rekomendasi banget dengan paket yang murah pelayanan yang maksimal,Pulesari
harga dibanding dengan desa wisata sekitar paling tinggi tapi tidak juga lebih baik terutama dipelayanan dan sikap beberapa pengelolaan ketika pelayanan dilapangan karena pelayanan itu utama jadi harus diutamakan karena pasar itu selalu berubah dan berkembang saya kasih bintang 1 dulu biar untuk evaluasi dan membuat pelayanan lebih baik dari segi apapun,Pulesari
sumber daya alam super oke namun sumber daya manusianya super amat sangat kurang tatacara baik dlm hal kompromi dan pelayanan jasa usaha cukup sekian dan tidak lagi lagi,Pulesari
dewi pulesari di daerah turi tempatnya luas banyak wahana untuk outbound ada pemandu wisatanya juga fasilitasnya ada tracking sungai jembatan goyang wisata kebun dan lain lainnya staff ramah cocok untuk digunakan outing class kantor ataupun acara lainnya harga ada yg paketan dengan fasilitas yg tersedia,Pulesari
desa wisata daerah turi sleman cocok utk outbond juga,Pulesari
tempat outbound yang oke terutama susur sungai yg mantap benar2 melatih keberanian tanggung jawab kebersamaan peduli sesama pas musim salak juuoss lokasi suejuk nyaman warga yg mendukung,Pulesari
tempat nya bagus kamar mandi bersih disediakan beberapa pendopo untuk menampung beberapa kelompok wisatawan fasilitas lengkap permainannya banyak dan sangat asik tapi pemandu sangat kurang baik dalam menjalankan tugas pemandu tidak komunikatif tidak dijelaskan apa yg harus dilakukan untuk safety permainan tidak dijelaskan apa yg tidak boleh dilakukan tidak dijelaskan bagaimana step by step cara melewati tracking sungai yg ada beberapa rintangan pemandu juga tidak membawa perlengkapan apapun saat mendampingi tracking sungai tidak membawa beberapa perlengkapan yang mungkin di butuhkan wisatawan saat ada hal yg tidak diinginkan terjadi sayang sekali tempat sebagus ini pemandunya kurang baik dalam menjalankan tugas sepertinya butuh diberi training agar dapat meningkatkan kualitas dan memberikan pelayanan yg lebih baik untuk pengunjung,Pulesari
dapet toiletnya gak nyaman karena banjir dan kotor overall okelah harga murah juga,Pulesari
banyak spot dan pendopo yang bisa di booking untuk acara gathering makrab dll ada wisata petik salak outbound susur sungai dll paket lengkap,Pulesari
tempat nya bagus spot nya luas ada out bond dan banyak pendopo,Pulesari
tempatnya sejuk nyaman cocok buat kegiatan d luar rumah outbond atw yg ingin menikmati alam pedesaan org2 eo nya juga ramah2 kocak2 makanannya mungkin requat ya kmren itu enak sayur lodeh ayam goreng peyek teri rebin mantap,Pulesari
bisa booking lewat wa dan bayar dp bisa transfer tempatnya luas ada beberapa pendopo tidak hanya untuk outbound saja juga bisa untuk menginap,Pulesari
tempat outbound yang cukup bagus parkir luas thx u,Pulesari
bagus banget tempatnya masyarakatnya juga sangat ramah pengelola tempat wisata juga sangat bertanggung jawab kalau misalnya ada yang sakit di bantuin kegiatan mahasiswa,Pulesari
lokasi mudah ditemukan meski jalannya berliku pelayanan ramah menu makanan cukuplah untuk standart kocek paket yg kami keluarkan,Pulesari
lumayan bagus sayang belum tertata dg rapi wahana supaya ditambah krn kelihatan sdh usang alangkah baiknya sdh memenuhi standar keselmatan dr badan yg berwenang dinas parowosata kab sleman dan sdh ber isn terima kasih,Pulesari
salah satu desa wisata yang cukup bagus penataan lokasi yang baik cukup bersih lokasi outbond di sungai yang sangat asri trainner outbond yang interaktif,Pulesari
pemandu sangat tidak ramah,Pulesari
pemandu sangat tidak ramah dan kurang profesional mungkin bisa di tingkatkan lagi untuk pelayanannya,Pulesari
tempat nyaman pengurusnya ramah cocok untuk acara kantor,Pulesari
kompak warganya asri desanya buanyak dan seru permainan nya ada outbond budaya alam kuliner tinggal pilih sehat2 selalu buat pengelolanya,Pulesari
tempat outbond yang seruuu bisa susur sungai juga tempatnya luassss pendoponya banyakk banyak toilet juga di rumah warga cocok buat rombongan bus parkirnya uuga luas makanan disini yang masak buibu dasawisma gitu keren banget bisa jadi desa wisata kalau mau beli oleh oleh biasanya ada yang jual masyarakat sekitar salak jadi andalan kemarin beli 1 kg 7 ribu salak pondoh biasa yang salak pondoh madu 10 ribu pinter nawar aja sii sama penjualnyaa,Pulesari
selalu sedia air putih ya teman teman karena capeknya tidak kerasa karena full permainan air tau tau kering ni tenggorokan,Pulesari
sangat tidak memuaskan dari model rute perjalanan susur sungai nya aliran sungai yang sangat kotor sisi kanan kiri juga ada getah kuning yang keluar entah dari mana asalnya tour guide nya tidak ramah sama sekali pengarahan yang disampaikan tidak informatif semua disuruh mandiri dari segi fasilitas juga tidak memuaskan kedepannya kalau memang mau membuat desa wisata alangkah lebih baiknya di perhatikan kondisi alam sekitar juga dan jangan asal memanfaatkan terlalu berlebihan,Pulesari
tempat outbond yg seruu tp sayang tdk ada warung makan yg nyaman,Pulesari
hari sabtu lumayan ramai pengunjung akses jalan lumayan macet kalau all pake mobil,Pulesari
bagus sangat alami wahana dan fasilitas okeeee semuaa,Pulesari
dulu sempat main ke sini lokasi asik buat bangun pagi lihat merapi disediakan tempat buat main api malam2 dan terapi ikan airnya seger khas pegunungan,Pulesari
tempatnya sering buat event event ada tempat untuk outbond2,Pulesari
