review_text,rating,author,date,nama desa wisata
enakk warga nya sopan semua makmur,5,gal 123,2026-04-04T12:02:30.226Z,Pentingsari
Kampung suami,5,Yumnaica Aidulfitrya Djjaya,2026-03-16T13:38:02.046Z,Pentingsari
You can learn javanese culture such as traditional dancing. You can also experience traditional way of living in java. There also campsite and many open spaces to play and do the outbound games.,5,Ali Tafrihatullutfi (Kang Lutfi),2026-02-03T05:53:45.145Z,Pentingsari
"Kearifan lokal yang menyenangkan, keramahan penduduk nya yang luar biasa",5,Sahid Arbas,2026-01-25T04:53:43.104Z,Pentingsari
"Desa wisata terbaik.
Terbaik dalam keramahan, pelayanan, makanan, dan kegiatan.
Sangat cocok untuk tempat belajar siswa dengan sistem live in di rumah host fam.",5,agung hartono,2026-01-14T11:02:39.511Z,Pentingsari
Hiburan,5,Karjo Mugo,2026-01-01T08:31:32.011Z,Pentingsari
"Tempatnya luas dan asri cukup bagus untuk kegiatan fun games, kamar mandi cukup banyak cuma gak semuanya air kerannya nyala kemarin pas cek yg sebelah barat. Semoga pengelolaannya lebih baik lagi 👍",5,Ulfa Nur Wahyudi,2025-12-28T05:19:26.687Z,Pentingsari
"Rumah Simbahnya Zahra ada di desa inih, lingkungannya masih asri banyak pohon² besar.. O2 melimpah.. cocok banget kalo suka hiking atau sepedaan jenis MTB / Gravel",5,edwonk zapravo,2025-12-22T12:01:00.532Z,Pentingsari
seru banget kesini. wisata yang bener2 seru apalagi kalau live in. enjoy here,5,Lutfi Hakim,2025-12-19T00:42:53.602Z,Pentingsari
"Di desa ini buat ngadain acara penanaman pohon dan bapaknya yang ngelola ramah sekali 🙏🏻😊

Cocok untuk wisata alam, yang mau camping apalagi. View-nya Kali Kuning, bisa main air juga karena tidak terlalu deras arusnya. Recommended!",5,Rifka Agnes,2025-12-11T10:45:32.043Z,Pentingsari
Lingkungan sangat nyaman,5,Vegha Ghani Karera,2025-12-11T00:04:45.356Z,Pentingsari
"puas dengan pelayanan pemandu nya, desa nya rapi bersih, kaya akan SDM, dan pengelolaan nya kereeennnn🤩🤩🤩",5,Berlian Febiantika,2025-11-27T14:47:07.002Z,Pentingsari
"Lingkungan nya nyaman dan asri, kita bs belajar dlm budaya yg  jarang kita temukan ditempat lain",5,Dese Rudiana,2025-11-11T15:46:44.449Z,Pentingsari
"Desanya asri,alami dan suasananya enak. Lingkungannya bersih,banyak home stay. Kesana cuma mampir jajan tidak menginap.",5,Dimas Suryo,2025-10-26T14:08:30.149Z,Pentingsari
Tempat bagus.. natural village,5,abramwidi,2025-10-24T11:54:30.603Z,Pentingsari
"Far from the busy town, calming and relaxing, the residents are so friendly, we living in with locals at their home, learning about what do they do everyday, trying a lot of things that you wouldn't find in the city life. But please lower your expectations, since the homestay is the residents home, so yes it will be different one to another.",4,violin ocarina,2025-10-19T00:31:47.242Z,Pentingsari
"Salah satu desa wisata yang ada di Yogyakarta, lokasinga sangat dekat dengan Ledhok Sambi yang sangat terkenal. Menginap 2 malam di homestay seruni, dilayani dam dijamu dengan hangat oleh Pak Bambang dan Mbah. Serasa pulang ke rumah nenek sendiri. Sehat selalu Mbah.",5,Arif Abdurrahman,2025-10-08T22:22:10.637Z,Pentingsari
"Tadinya mau ke lodok sambi tapi sudah kesorean dan hampir tutup, lalu disarankan sama bpk tukang parkirnya kesini, tempatnya lumayan bagus, namun memang lebih cocok buat camping atau outbound,",4,Benny Budiarto,2025-10-05T04:01:42.296Z,Pentingsari
Difficult to find. Need special arrangement from local people.,3,Rizanto Binol,2025-09-29T01:34:25.413Z,Pentingsari
Lingkungan sangat asri n alami,5,Yulius R_Yan,2025-09-23T09:43:48.641Z,Pentingsari
"Tempat sangat alami, nyaman, udara sejuk, kamar mandi bersih",5,Ayu Dhita Gilang Kusuma,2025-09-23T07:34:42.130Z,Pentingsari
Bagus,5,Kang Hananto Aza,2025-09-10T08:33:11.093Z,Pentingsari
"Daerah pentingsari seperti 2 pulau yg terpisah yg dihubungkan dng jembatan , terlihat indah masih asri dan nyaman, masyarakatnya ramah2 sopan,dan tidak ada sampah plastik sedikitpun di pulau kecil ini, perpaduan bukit dan lembah dan penghijauan yg membentang seperti paru2 dunia,tempat kemah , bisa naik hrap , bisa BELAJAR pertanian di peting , desa wisata kali kuning",5,wayan channel power of a woman,2025-09-07T23:07:01.421Z,Pentingsari
"Good area for outdoor and outbond activities, lack lighting and access to healthcare facilities but the probability for activities are endless",4,Devin J,2025-09-06T15:35:48.952Z,Pentingsari
"Nyaman, asri, sejuk",4,Nur Hadi,2025-09-05T02:43:08.152Z,Pentingsari
"tempat saya melakukan malam keakraban untuk TITRASI 2025, sangat menakjubkan sih.",5,Brigita Lintang Fredella,2025-09-01T10:04:48.937Z,Pentingsari
"Tempat yg cocok untuk makrab dan sebagainya, buat outbound juga asikk",5,Yordan Kumanireng,2025-08-23T14:02:13.084Z,Pentingsari
Very home and lovely ❤️,5,Nabilla Tashandra,2025-08-08T15:26:04.113Z,Pentingsari
"Salam dari Desa Mattone, Kalsel",5,I-One Yoshida,2025-07-23T18:01:07.406Z,Pentingsari
"Seru banget fieldtrip di Desa Wisata Penting Sari!! saya dan teman teman saya menangkap lele di sawah, bermain bola lumpur dan mandi di sungai benar” mencerminkan kehidupan desa yang asri, menginap di homestay Pak Joko dan Bu Ambar yang sangat ramah.. Selama di Homestay Pak Joko kami makan makanan yang di masak Bu Ambar.. Sangat Enak dan bener” serasa lagi di rumah.. Selain itu Homestaynya juga bersih dan Rapih sangat nyaman untuk di tempati❤️ Saya bisa melihat kekompakan masyarakat lokal🥰🥰 Love Bu Ambar & Pak Joko semoga sehat selalu❤️",5,Nanda Aprilia,2025-07-02T04:14:59.299Z,Pentingsari
"Worth to visit !! Please come to Desa Wisata Pentingsari, you will never regret. This for sure :)",5,Agnes Leonita,2025-06-28T09:36:31.700Z,Pentingsari
"desa wisata nya bagus keren, tetapi masih kurang kayak jalan untuk ke lokasi pendopo bus gabisa masuk harus jalan kaki karena lokasinya agak ke bawah, terus kalau malem arah keluar desa agak kurang penerangan... parkir nya juga terbatas di lokasi.. trs penunjuk jalan mohon ditambah... mungkin perlu ditingkatkan fasilitas bisa minta dana ke dinas pariwisata ya mungkin...",3,griya dimsum,2025-06-05T08:06:40.317Z,Pentingsari
"Suasana perkampungan yg asri. Banyak pohon, bersih, dan makanan di warung simbok ok.",4,ribka barus,2025-06-02T13:12:24.739Z,Pentingsari
Lot of adventures yet less of excitement,3,rey,2025-05-31T08:48:25.533Z,Pentingsari
Asri nan berbudaya,5,santo uye,2025-05-11T16:00:33.852Z,Pentingsari
"Desa wisata yang terkenal, biasa digunakan Untuk acara pembelejaran siswa atau pu. Acata gethering perusahaan, akses masuk dan laham parkir untuk rombongan bus cukup memadai",5,Diego Permadi,2025-05-11T12:10:35.508Z,Pentingsari
Suasana tenang dan asr,5,Izzat Habibi,2025-05-11T11:53:55.763Z,Pentingsari
"Kesini pas nengok anak camping sekolah, tempatnya lumayan bagus, nyaman, parkir juga luas..",4,indra riyanta,2025-05-09T12:56:08.705Z,Pentingsari
"Bagus banget parkir  luas, home stay banyak, pendopo  pertemuan juga banyak, kolam ikan banyak. Cocok untuk  perkemahan, outbond, gathering, reuni dll menu makanan  murah",5,Bersama Insan SOLEH,2025-05-04T14:27:40.623Z,Pentingsari
Area perkemahan juga...asri...,5,Anisah Rahmawati,2025-05-02T22:21:52.262Z,Pentingsari
Good Place,5,Mohamad Arizza Isthianto,2025-04-20T09:40:44.489Z,Pentingsari
Lokasi recommended untuk outbond dan kemah,5,Rizkisurya Pradana,2025-04-12T13:19:57.137Z,Pentingsari
"Terawat, staff Lor Sambi cekatan pasangin tenda",4,rosy liana,2025-04-02T05:50:11.998Z,Pentingsari
Good Place with good people,5,ARIE AWLIJENS,2025-03-15T15:02:28.832Z,Pentingsari
"Bagus banget , di sana saya belajar cara membuat wayang dari rumput, membuat janur , membuat batik , dan belajar memainkan gamelan. Di sana juga asri banget tempat nya adem , sejuk , dingin pokoknya.orang orangnya juga ramah banget , saya suka .",5,Raisa Zafira Rahmayani,2025-03-05T21:32:26.368Z,Pentingsari
penting ini 😁👍,5,Aria Nova,2025-02-28T09:34:07.894Z,Pentingsari
worth it,5,rènata.,2025-02-21T13:04:57.550Z,Pentingsari
ramah semua orang orang nya,5,Safina Zahra,2025-02-16T16:29:26.963Z,Pentingsari
"Desa Wisata Pentingsari terletak di lereng Gunung Merapi, di daerah Sleman, Yogyakarta. Desa ini dikenal karena keindahan alamnya yang memukau, suasana pedesaan yang masih alami, serta keunikan budaya yang ditawarkan. Di Pentingsari, pengunjung bisa menikmati berbagai aktivitas wisata seperti trekking, menikmati pemandangan alam, berinteraksi dengan penduduk lokal, serta belajar tentang pertanian organik dan kerajinan tangan tradisional.

Desa ini juga terkenal dengan konsep ""wisata edukasi,"" di mana wisatawan dapat ikut serta dalam kegiatan sehari-hari masyarakat, seperti membuat makanan tradisional atau mengikuti workshop kerajinan..",5,Doel Maksum,2025-01-23T16:50:47.063Z,Pentingsari
seruuuu seruuuu asikkk asik programny,5,Cordelia Belda Faustine,2025-01-22T07:01:19.109Z,Pentingsari
"sangat menyenangkan, untuk bapak dan ibunya juga asik2, tapi kurang tempat untuk bermain jadi hanya berkumpul di beberapa tempat",5,Danielelelelel,2025-01-22T07:00:38.872Z,Pentingsari
nice,5,neta,2025-01-22T06:59:45.910Z,Pentingsari
"tempat nya bagus,pemandangan nya udah banyak pohon"" masih asri deh Kka"" ny juga ramah"",baik penduduknya  Friendly,tempat wisata nya banyak,pokoknya the beast deh ヾ(＾-＾)ノ",5,Rina Ramly,2025-01-14T01:50:59.986Z,Pentingsari
Bisa diriin tenda di aliran sungai.tp pas malam byk bgt serangga yg bikin mata bengul...,4,Nino syawali,2025-01-10T06:29:02.154Z,Pentingsari
sangat nyaman,5,MUHAMMAD NAUFFAL AL GHIFFARI,2025-01-09T12:33:45.683Z,Pentingsari
Keren sejuk enak,5,nairanabila nita,2025-01-06T06:46:21.271Z,Pentingsari
"Suasana pedesaannya sangat kental. Bagus untuk study tour anak2. Banyak yang bisa dipelajari disini mulai dari menamam padi, membuat wedang jahe dan sejenisnya serta berlatih gamelan.",5,Arie FPV,2024-12-12T05:17:12.346Z,Pentingsari
Tempat mantap untuk rekreasi dan outbond.,5,Agus Wijanarko,2024-12-09T12:44:28.363Z,Pentingsari
"Ikut Jogja International Heritage Walk 2024, trus ke sini. Desanya asri, trus banyak produk kearifan lokalnya, seruu.",5,Firdha Eka Susanti Dianingsih,2024-12-09T09:59:51.398Z,Pentingsari
"Desa Wisata Pentingsari, PENTING BANGET..
Ada alat pengelolaan sampah botol plastik yg baru saya temui di dewis ini, serta alat tersebut dukungan dari suatu bank dalam aksinya mendukung program pengelolaan sampah.

Kopi madu merapi recommended, apalagi di buat kopi susu tarik.

Edukasi gamelan cukup interaktif, dengan bapak pelatih ramah"".

Bakal kangen untuk balik berkunjung maupun berwisata ke desa wisata ini, karena masih banyak spot dan atraksi wisata lain yang belum dikulik dan dicoba😍✨",5,Marsyanda Salsya Irawan,2024-12-08T16:20:58.069Z,Pentingsari
"Terimakasih untuk desa Dewi pentingsari atas sambutan yang diberikan, tentunya sangat pusa happy lingkungan yang masih asri dan terimakasih bakti BCA atas undangannya.  Hari ini happy bersama teman teman lainnya, bertemu dengan teman baru have fun bareng bakti BCA. Untuk tahun depan semoga diundang lagi diajak lagi terimakasih Bakti BCA...",5,Muh Haidir Jabir,2024-12-03T07:29:59.276Z,Pentingsari
Seru gokil abis,5,rahmad kurniawan,2024-12-03T06:58:48.151Z,Pentingsari
Mantab..Desa Bersih dan Anggun dan Asri..,5,Dionisius Simanjuntak,2024-12-03T03:28:27.848Z,Pentingsari
Great place for vacation with family,5,fauziyah nurlaili,2024-11-27T01:27:05.458Z,Pentingsari
"Salah satu desa wisata terbaik yang pernah dikunjungi, selain suasana pedesaannya yang sejuk, penduduknya juga ramah ramah dan banyak sentra sentra kerajinan yang bisa dikunjungi",5,edywaluyo nugroho,2024-11-24T04:22:49.331Z,Pentingsari
"Berkunjung ke desa wisata ini ketika ada event Jogja International Heritage Walk.
Suasana pedesaan, asri, masih banyak dijumpai sawah dan pepohonan.",4,caecilia dwi,2024-11-23T09:55:51.558Z,Pentingsari
Bagus tempat wisata sama homestay ya yaman yg bapak dan ibu ya baik banget welcome.keren buat referens badan,5,Ashad Isnaini,2024-11-20T13:10:20.673Z,Pentingsari
"Pertama kali datang ke Desa Wisata Pentingsari, Sleman untuk mengikuti JIHW. Daerahnya bersih, asri, serta penduduknya ramah. Rute untuk berjalannya lumayan menantang karena kondisi jalan yang naik-turun.",5,Yuraeka Dewi,2024-11-20T06:49:12.417Z,Pentingsari
"Sangat Asri, Cocok untuk rombongan yang mengadakan acara disini",5,dfadaffa (Daffa),2024-11-20T05:01:45.719Z,Pentingsari
"Adem, suasananya masih natural......",5,Erma Umayah,2024-11-17T01:37:13.585Z,Pentingsari
Di situ tempat saya live in Dari Sekolah Dian Harapan Jambi dan Bangka tempat nya adem tapi kalau malam sangat dingin,5,Christiano Erlando Togar Mattio Pardosi,2024-11-09T00:06:49.940Z,Pentingsari
Tempatnya bagus dan orangnya ramah2 semuaa,5,Brigita Rani Hendrika,2024-11-01T14:05:49.092Z,Pentingsari
keren,5,Martha Surbakti,2024-10-31T04:42:44.061Z,Pentingsari
"Best place to visitt 💙💙 SDM Cakap, tempat menarik",5,Dhika Daniswara,2024-10-31T04:41:41.641Z,Pentingsari
mantap banget seruu,5,Timur Anggoro Novanto,2024-10-31T04:41:39.805Z,Pentingsari
Penuh experience,5,Fernando,2024-10-31T04:41:14.604Z,Pentingsari
Keren banget harus balik lagi!,5,Eldora Aristian Lintang P.,2024-10-31T04:40:54.190Z,Pentingsari
Sangat menyenangkan dan seru . Pembelajaran dan ilmu yang di dapat tidak hanya belajar tetapi berlibur dengna cara yang sangat menyenangkan,5,willy wijaya,2024-10-31T04:40:22.994Z,Pentingsari
Seru dan banyak hal menarik yang bisa dipelajari dan pengalaman live experience! Bukan hanya kata-kata atau teori saja tapi bisa sambil mengalami. Semuanya ramah welcoming dan baik ❤️,5,Winston Renatan,2024-10-31T04:34:49.546Z,Pentingsari
Good,5,Evadwiyanti Sudarsono,2024-10-31T04:34:33.778Z,Pentingsari
Keren banget wajib dicoba,5,Achmad Septio,2024-10-31T04:31:09.205Z,Pentingsari
Desanya keren dan hommy,5,mitha bandioko,2024-10-08T09:43:34.403Z,Pentingsari
"Tempatnya tenang, asyik untuk camp",5,Ifa Bulet,2024-09-27T15:41:19.968Z,Pentingsari
baguss seruu bgt homestaynya nyaman bersih orangnya ramahh makanannya enakkkkk suasananya juga enak bgt videonya juga kerenn,5,Raisa Ammara,2024-09-14T03:27:11.842Z,Pentingsari
"Tempat yang bagus, saya baru abis dari desa itu",5,Penikmat hidup,2024-09-13T11:25:17.818Z,Pentingsari
"bagus bgt, orangnya ramah, bisa tau budaya budaya, viewnya cakep, recomended bgt deeehhhh 🫰🫰",5,audy,2024-09-13T10:43:09.348Z,Pentingsari
seru bgt sukaa!warganya ramah bgt❤️❤️,5,alea delavega,2024-09-13T10:43:09.218Z,Pentingsari
"NYAMANNN BANGETT SERUUU, bakal kangen kesinii asri bangett sejukk",5,andjani callysa,2024-09-12T07:23:45.523Z,Pentingsari
"Hari pertama disini saya melihat 4 ekor anjing depan homestay, hari terakhir disini saya melihat 4 ekor teman depan homestay",5,Raditya,2024-09-11T23:40:18.577Z,Pentingsari
"Sangat nyaman disini, aman dan tentram. Rekomen banget sih yg mau cari desa wisata di jogja. ""Berkunjunglah kembali sebagai saudara, bukan sebagai tamu"" 🥹🥹",5,rakha andreanov,2024-09-11T23:39:22.566Z,Pentingsari
mantap untuk pengalamannya seru seruu semuaaa,5,Katak Katak,2024-09-11T13:04:56.551Z,Pentingsari
Desa yg luar biasa memberi edukasi,5,Leonard Tamba,2024-09-04T07:53:16.557Z,Pentingsari
Seharian berkunjung ke desa ini dan sangat menarik menyaksikan kesederhanaan masyarakat desa dalam kesehariannya dan takjub dengan kepemimpinan para penggerak desa wisata ini yg sanggup berkembang dengan baik..,5,asep rudi,2024-09-04T07:53:04.567Z,Pentingsari
"Mari dukung desa wisata pentingsari.
Cocok utk lebih dari 5 org krn buat main gamelannya asyik",5,andri dwi wibowo,2024-09-04T07:51:58.115Z,Pentingsari
"desa dengan daya tariknya tersendiri, memiliki berbagai objek wisata yang tifak biasa, masyarakat yang sangat ramah menjadi poin utama sehingga bisa menikmati dan merasakan hidup di desa dengan value dan kearifan lokalnya",5,Lalu Riki Gita Sukma,2024-08-24T05:28:41.161Z,Pentingsari
"Banyak homestay, sejuk dan ramah2. Pelayanan prima dan keren",5,Alfian Helmi,2024-08-24T05:26:12.631Z,Pentingsari
"Top, kreatif, alami👍",5,g. prasetyo adhitama,2024-08-24T05:26:10.327Z,Pentingsari
Tempatnya memamg dibuat untuk camp dan kegiatan outbond..namun jalan menuju ke sana seperti labirin,5,friesca dewi,2024-07-25T08:50:03.096Z,Pentingsari
"Ini desa wisata
Salah satu desa yg berkembang dan desanya di well maintained dan bersih
Untuk kegiatan student trip 3 hari 2 malam wuoke banget ..letaknya 45-1 jam dari jogya",4,Arienta Wardhani,2024-07-12T00:46:35.546Z,Pentingsari
"Tempat untuk acara kumpul2,suasana asri,sejuk,tempat mengenalkan anak2 tentang alam.",5,Dedy Purnomo,2024-07-10T08:14:39.565Z,Pentingsari
Tempatnya syahdu pol,5,tia kristiena,2024-07-10T03:54:26.673Z,Pentingsari
Mau nyewa buat 15 org..Padahal warga cangkringan juga..tapi harus minimal 40 org buat sewa tempat nya,1,Nurhidayah Alinsani,2024-07-06T03:51:26.491Z,Pentingsari
Bagus sekali untuk program studi pendidikan dan kemandirian anak....,5,Sgung Rintoko,2024-06-28T20:23:20.565Z,Pentingsari
"Very good place with many places to visit, good weather. With some bad memories of volcano eruption in some areas of the village.",5,Kevin Respicius,2024-06-26T09:00:15.153Z,Pentingsari
tempat nya bersih rapi kamar mandi memadai buat masyarakat yang menggunakan buat camping,5,Purwanto Smk,2024-06-20T17:20:14.856Z,Pentingsari
Desa wisata yg sungguh luar bias,5,Setto Bledhug Purwanto,2024-06-19T09:00:14.964Z,Pentingsari
Good place to have a glimpse of village Tourism,5,Elizabeth Baluze,2024-06-13T08:37:06.243Z,Pentingsari
Penginapan Pak Amrullah Yusuf,5,Razky Julio Mamonto,2024-06-11T10:36:21.797Z,Pentingsari
"Desa wisata di kaki merapi, asri banget dan rapi",5,Hari Yunianto,2024-06-04T09:40:14.151Z,Pentingsari
"Desa wisata yang luar biasa pelayanannya, Desa yang Memajukan Ekonomi Rakyatnya, Rekomendasi Untuk Pelajar😊",5,muhammad hafidz,2024-06-01T20:01:32.510Z,Pentingsari
Sejuk dan indah,5,KISWO,2024-05-31T11:01:28.448Z,Pentingsari
Akses jalan kurang memadai,3,Biru Langit,2024-05-28T14:48:37.060Z,Pentingsari
"Senang berkunjung ke Desa Penting Sari dalam rangka study tiru  Forum Badan Permusyawaratan Nagari(BPN) Kabupaten Solok
Banyak Pengalaman yang kami dapat  tentang Desa Wisata Penting Sari terbaik di Indonesia",5,Jumahardi 11,2024-05-28T04:54:17.665Z,Pentingsari
bagussss,5,Galuh Raditya,2024-05-24T17:05:01.019Z,Pentingsari
Bagus unntuk satae sama keluarga.,5,Tukimin Tukimin,2024-05-19T04:15:22.500Z,Pentingsari
"This place is a hidden gem in Yogyakarta. The views are stunning, the people are friendly, and the activities are endless.

I highly recommend checking it out if you're looking for an authentic experience.",5,Rifqi Muhammad,2024-05-14T02:56:23.373Z,Pentingsari
Bu tuting,4,seno pro,2024-05-08T14:11:27.963Z,Pentingsari
"Tempatnya pas u kemah anak2, tp jalan ke lokasi masih kecil jadi kalau mobil berpapasan agak sulit berjalan",4,Mohammad Imam Santoso,2024-05-08T13:41:29.864Z,Pentingsari
Menyenangkan damai di tengah pedesaan,5,Agung Santoso,2024-05-08T03:42:44.025Z,Pentingsari
Tempat nyaman..adem bgt..asri..homestay rmh warga..,5,Sri Yulia,2024-05-07T11:57:59.540Z,Pentingsari
Sejuk,5,MUIN BRAGOLA,2024-05-05T04:55:51.508Z,Pentingsari
